Date,Match,BO,Run,Boundary,SR,Out
11/06/11,IND vs WI,3,0 (1),0/0,0,lbw
08/06/11,IND vs WI,3,81 (103),6/1,78.6,catch
06/06/11,IND vs WI,3,2 (8),0/0,25,catch
02/04/11,IND vs SL,4,35 (49),4/0,71.4,catch
30/03/11,IND vs PAK,4,9 (21),0/0,42.8,catch
24/03/11,IND vs AUS,4,24 (33),1/0,72.7,catch
20/03/11,IND vs WI,3,59 (76),5/0,77.6,bowled
12/03/11,IND vs RSA,7,1 (3),0/0,33.3,catch
09/03/11,IND vs NED,5,12 (20),2/0,60,bowled
06/03/11,IND vs IRE,4,34 (53),3/0,64.1,run out
27/02/11,IND vs ENG,7,8 (5),1/0,160,bowled
19/02/11,IND vs BAN,4,100 (83),8/2,120.4,not out
16/02/11,IND vs NZ,4,59 (68),7/0,86.7,catch
13/02/11,IND vs AUS,3,21 (33),3/0,63.6,catch
23/01/11,IND vs RSA,3,2 (6),0/0,33.3,catch
21/01/11,IND vs RSA,3,87 (92),7/2,94.5,not out
18/01/11,IND vs RSA,3,28 (41),5/0,68.2,catch
15/01/11,IND vs RSA,3,22 (34),1/0,64.7,run out
12/01/11,IND vs RSA,3,54 (70),2/1,77.1,catch
10/12/10,IND vs NZ,3,2 (8),0/0,25,catch
07/12/10,IND vs NZ,3,0 (2),0/0,0,catch
04/12/10,IND vs NZ,3,63 (70),6/2,90,not out
01/12/10,IND vs NZ,3,64 (73),8/0,87.6,catch
28/11/10,IND vs NZ,3,105 (104),10/0,100.9,catch
20/10/10,IND vs AUS,3,118 (121),11/1,97.5,Out Type
28/08/10,IND vs SL,3,37 (57),5/0,64.9,catch
25/08/10,IND vs NZ,3,8 (16),1/0,50,catch
16/08/10,IND vs SL,3,0 (3),0/0,0,catch
24/06/10,IND vs SL,3,28 (34),4/0,82.3,catch
22/06/10,IND vs SL,3,10 (14),1/0,71.4,catch
19/06/10,IND vs PAK,3,18 (27),1/0,66.6,bowled
16/06/10,IND vs BAN,3,11 (22),0/0,50,stumped
05/06/10,IND vs SL,3,68 (95),5/0,71.5,catch
03/06/10,IND vs ZIM,3,18 (29),1/0,62,catch
30/05/10,IND vs SL,3,82 (92),4/0,89.1,catch
28/05/10,IND vs ZIM,3,0 (0),0/0,,run out
27/02/10,IND vs RSA,3,57 (71),4/1,80.2,catch
21/02/10,IND vs RSA,5,31 (46),1/0,67.3,catch
13/01/10,IND vs SL,3,2 (8),0/0,25,catch
11/01/10,IND vs BAN,3,102 (95),11/0,107.3,not out
10/01/10,IND vs SL,3,71 (68),9/0,104.4,not out
07/01/10,IND vs BAN,3,91 (102),7/0,89.2,catch
05/01/10,IND vs SL,3,9 (12),1/0,75,catch
24/12/09,IND vs SL,4,107 (114),11/1,93.8,catch
18/12/09,IND vs SL,4,54 (65),7/0,83,lbw
15/12/09,IND vs SL,7,27 (19),4/0,142.1,bowled
02/11/09,IND vs AUS,3,10 (16),1/0,62.5,catch
25/10/09,IND vs AUS,4,30 (41),3/0,73.1,catch
30/09/09,IND vs WI,4,79 (104),9/2,75.9,not out
26/09/09,IND vs PAK,4,16 (24),1/0,66.6,catch
14/09/09,IND vs SL,7,2 (2),0/0,100,not out
29/08/08,IND vs SL,1,31 (46),3/1,67.3,lbw
27/08/08,IND vs SL,1,54 (66),7/0,81.8,bowled
24/08/08,IND vs SL,1,25 (38),4/0,65.7,run out
20/08/08,IND vs SL,2,37 (67),6/0,55.2,catch
18/08/08,IND vs SL,2,12 (22),1/0,54.5,lbw
